City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,12.66,68,52,7.82,SH,1728497479
1,bethel,41.3712,-73.414,18.52,46,20,5.14,US,1728497241
2,kruisfontein,-34.0033,24.7314,17.29,82,3,1.33,ZA,1728497481
3,whitehorse,60.7161,-135.0538,2.12,91,100,4.02,CA,1728497281
4,san luis de la loma,17.2706,-100.8939,28.32,76,70,2.19,MX,1728497484
5,north bend,43.4065,-124.2243,17.36,94,100,2.57,US,1728497485
6,minas de marcona,-15.2119,-75.1103,15.21,78,91,7.54,PE,1728497361
7,georgetown,5.4112,100.3354,26.96,87,20,2.06,MY,1728497015
8,tiksi,71.6872,128.8694,-7.14,83,100,3.31,RU,1728497489
9,keflavik,64.0049,-22.5624,2.24,87,75,1.54,IS,1728497491
10,punta arenas,-53.15,-70.9167,13.06,62,75,5.14,CL,1728497238
11,bhikangaon,21.8667,75.95,26.51,73,87,2.28,IN,1728497494
12,thompson,55.7435,-97.8558,12.11,48,81,4.41,CA,1728497495
13,blackmans bay,-43.0167,147.3167,9.07,69,36,5.54,AU,1728497496
14,olonkinbyen,70.9221,-8.7187,0.47,80,75,5.81,SJ,1728497497
15,hawaiian paradise park,19.5933,-154.9731,25.5,88,40,2.57,US,1728497498
16,vorgashor,67.5833,63.95,-6.82,94,35,3.32,RU,1728497500
17,shimoda,34.6667,138.95,17.37,83,16,8.5,JP,1728497501
18,stanley,54.868,-1.6985,8.49,95,75,9.77,GB,1728497502
19,port-aux-francais,-49.35,70.2167,0.64,56,99,11.69,TF,1728497503
20,san juan sacatepequez,14.7189,-90.6442,22.8,53,75,6.17,GT,1728497264
21,puerto ayora,-0.7393,-90.3518,21.97,90,90,4.02,EC,1728497505
22,lasem,-6.6922,111.4527,26.95,75,44,2.75,ID,1728497507
23,grytviken,-54.2811,-36.5092,-3.11,60,49,0.95,GS,1728497508
24,hithadhoo,-0.6,73.0833,28.05,75,100,9.97,MV,1728497509
25,ilulissat,69.2167,-51.1,2.01,87,75,0.0,GL,1728497393
26,port alfred,-33.5906,26.891,20.46,83,1,4.37,ZA,1728497511
27,hermanus,-34.4187,19.2345,15.45,92,89,1.47,ZA,1728497512
28,invercargill,-46.4,168.35,4.45,92,82,0.89,NZ,1728497513
29,adamstown,-25.066,-130.1015,19.99,76,92,7.74,PN,1728497515
30,wildwood,38.5828,-90.6629,24.67,37,0,2.68,US,1728497516
31,shasta lake,40.6804,-122.3708,27.84,32,93,0.13,US,1728497435
32,tommot,58.9564,126.2925,0.43,81,100,1.51,RU,1728497518
33,cooper's town,26.8667,-77.5167,27.91,81,86,3.76,BS,1728497520
34,bilibino,68.0546,166.4372,-9.3,91,100,2.53,RU,1728497521
35,lebu,-37.6167,-73.65,14.85,73,9,5.73,CL,1728497522
36,kassala,15.451,36.4,34.61,25,36,4.11,SD,1728497523
37,ulety,51.3572,112.4849,-3.91,68,4,1.49,RU,1728497524
38,queenstown,-31.8976,26.8753,21.15,33,81,2.53,ZA,1728497525
39,miandrivazo,-19.5167,45.4667,27.26,57,44,4.9,MG,1728497388
40,cannonvale,-20.2833,148.7,23.66,87,15,2.45,AU,1728497528
41,toliara,-23.35,43.6667,25.4,59,7,7.14,MG,1728497529
42,college,64.8569,-147.8028,0.25,86,100,4.12,US,1728497344
43,margaret river,-33.95,115.0667,8.59,79,4,4.65,AU,1728497532
44,uturoa,-16.7333,-151.4333,25.99,79,100,8.58,PF,1728497534
45,st. john's,47.5649,-52.7093,12.31,89,61,2.68,CA,1728497491
46,remire-montjoly,4.9167,-52.2667,33.02,55,20,5.14,GF,1728497303
